case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
coronacases_001,0.2784895304781068,0.43017282216931385,0.2058904674482662,0.9861698818020587,0.9815736054582057,0.9815736054582057,0.20589046744826636,0.9815078451063252,0.16177045414975053
coronacases_002,0.13758233028484726,0.4629576204648768,0.0807968148818996,0.9723463911825078,0.9696858596801757,0.9696858596801757,0.08079681488189965,0.9696123817459767,0.07387297302966946
coronacases_003,0.41343159629355936,0.496022293983072,0.3544187423200077,0.9774872035912753,0.965782241821289,0.965782241821289,0.3544187423200079,0.965364577822994,0.2605822700916814
coronacases_004,0.0,0.0,0.0,0.9686203224053326,0.9667539949770327,0.9667539949770327,0.0,0.9667539949770327,0.0
coronacases_005,0.053048266742784254,0.8731308159480974,0.027355132778297528,0.9278172300281363,0.9276903744401603,0.9276903744401603,0.027355132778297535,0.9275436217421713,0.027246831976689763
coronacases_006,0.09854671387269828,0.852141014157559,0.052297346857900946,0.9585153968416725,0.958230390235292,0.958230390235292,0.05229734685790097,0.9581348068424618,0.05182704965285203
coronacases_007,0.0802768400754207,0.7473913332447121,0.042416378506369375,0.9531987806303395,0.952629502997341,0.952629502997341,0.04241637850636939,0.9525313693828449,0.041816883679506464
coronacases_008,0.15028772159797318,0.9564314563943418,0.08155107660912504,0.9240628048663833,0.9242893992072324,0.9242893992072324,0.08155107660912506,0.9237790674893958,0.08124924257290832
coronacases_009,0.09888014189272055,0.8180974767726561,0.05262005802077546,0.9506279518443292,0.9501851946115494,0.9501851946115494,0.052620058020775476,0.9500486728150304,0.052011524402866355
coronacases_010,0.33188913134977605,0.8605655612675932,0.2055886292026971,0.96318279343489,0.9620590716897451,0.9620590716897451,0.20558862920269716,0.9616981254849398,0.19896107482252007
